timestamp=2026-06-19T11:38:49-04:00
iterations=100
resolution,nx,local_ny,nz,kernel,mode,iterations,allocation_ms,h2d_ms,launch_ms,kernel_ms,sync_ms,d2h_ms,free_ms,total_ms,total_ms_per_call
T42,128,4,25,semi_x_3d,cpu,100,0.000000,0.000000,0.000000,2.734984,0.000000,0.000000,0.000000,2.734984,0.027350
T42,128,4,25,semi_x_3d,cuda-current,100,4.057931,1.893126,227.323409,227.619034,0.718530,0.800034,2.843818,238.005808,2.380058
T42,128,4,25,semi_x_3d,cuda-persistent,100,0.046176,0.020160,0.147425,0.251232,0.104544,0.008352,0.042144,0.376161,0.003762
T42,128,4,25,vanleer_x_3d,cpu,100,0.000000,0.000000,0.000000,10.090301,0.000000,0.000000,0.000000,10.090301,0.100903
T42,128,4,25,vanleer_x_3d,cuda-current,100,3.903785,2.592486,0.263648,0.622240,0.785091,0.787716,2.679561,11.351393,0.113514
T42,128,4,25,vanleer_x_3d,cuda-persistent,100,0.044416,0.027200,0.145696,0.306720,0.161633,0.008928,0.035424,0.430497,0.004305
T42,128,4,25,vanleer_sphere_3d,cpu,100,0.000000,0.000000,0.000000,7.742294,0.000000,0.000000,0.000000,7.742294,0.077423
T42,128,4,25,vanleer_sphere_3d,cuda-current,100,4.288462,4.719181,0.268002,0.741184,0.905473,0.776613,3.128712,14.426411,0.144264
T42,128,4,25,vanleer_sphere_3d,cuda-persistent,100,0.049376,0.049152,0.149216,0.414624,0.266209,0.008320,0.043808,0.573249,0.005732
resolution,nx,local_ny,nz,kernel,mode,iterations,allocation_ms,h2d_ms,launch_ms,kernel_ms,sync_ms,d2h_ms,free_ms,total_ms,total_ms_per_call
T85,256,8,25,semi_x_3d,cpu,100,0.000000,0.000000,0.000000,11.815779,0.000000,0.000000,0.000000,11.815779,0.118158
T85,256,8,25,semi_x_3d,cuda-current,100,4.267583,2.213122,0.884833,1.217120,0.762209,0.968705,3.070848,12.548132,0.125481
T85,256,8,25,semi_x_3d,cuda-persistent,100,0.047232,0.023040,0.148417,0.281696,0.133952,0.010400,0.041184,0.412033,0.004120
T85,256,8,25,vanleer_x_3d,cpu,100,0.000000,0.000000,0.000000,42.199450,0.000000,0.000000,0.000000,42.199450,0.421994
T85,256,8,25,vanleer_x_3d,cuda-current,100,4.204589,2.983402,0.258528,0.737216,0.912992,0.970756,2.986503,12.674565,0.126746
T85,256,8,25,vanleer_x_3d,cuda-persistent,100,0.046976,0.031360,0.147041,0.362272,0.216000,0.011168,0.039360,0.499329,0.004993
T85,256,8,25,vanleer_sphere_3d,cpu,100,0.000000,0.000000,0.000000,29.430805,0.000000,0.000000,0.000000,29.430805,0.294308
T85,256,8,25,vanleer_sphere_3d,cuda-current,100,4.657099,5.366258,0.228640,0.770304,0.956065,0.979879,3.518921,16.078830,0.160788
T85,256,8,25,vanleer_sphere_3d,cuda-persistent,100,0.052704,0.054464,0.154816,0.481856,0.327681,0.011488,0.045473,0.654114,0.006541
resolution,nx,local_ny,nz,kernel,mode,iterations,allocation_ms,h2d_ms,launch_ms,kernel_ms,sync_ms,d2h_ms,free_ms,total_ms,total_ms_per_call
T170,512,16,25,semi_x_3d,cpu,100,0.000000,0.000000,0.000000,44.793473,0.000000,0.000000,0.000000,44.793473,0.447935
T170,512,16,25,semi_x_3d,cuda-current,100,10.861150,2.970640,0.849507,1.226016,0.801025,1.348160,7.202867,24.432743,0.244327
T170,512,16,25,semi_x_3d,cuda-persistent,100,0.113185,0.030080,0.153632,0.356608,0.203329,0.014144,0.085024,0.607618,0.006076
T170,512,16,25,vanleer_x_3d,cpu,100,0.000000,0.000000,0.000000,200.876805,0.000000,0.000000,0.000000,200.876805,2.008768
T170,512,16,25,vanleer_x_3d,cuda-current,100,11.042365,4.470031,0.277696,0.888320,1.027520,1.435237,7.110518,25.751338,0.257513
T170,512,16,25,vanleer_x_3d,cuda-persistent,100,0.115584,0.049344,0.155969,0.583680,0.428545,0.018144,0.080480,0.855298,0.008553
T170,512,16,25,vanleer_sphere_3d,cpu,100,0.000000,0.000000,0.000000,117.113042,0.000000,0.000000,0.000000,117.113042,1.171130
T170,512,16,25,vanleer_sphere_3d,cuda-current,100,11.447205,6.923123,0.275041,1.186656,1.328835,1.466502,7.723411,29.556886,0.295569
T170,512,16,25,vanleer_sphere_3d,cuda-persistent,100,0.123520,0.072673,0.149984,0.869824,0.720354,0.017440,0.092769,1.184484,0.011845
