log,log_name,resolution,config,days,status,completed,completed_markers,hit_time_limit,mpi_abort,gpu_mapping_markers,experiment,output,mpp_tmin_s,mpp_tmax_s,mpp_tavg_s,mpp_tstd_s,runtime_per_day_s,fv_backend,fv_calls,fv_allocation_s,fv_h2d_s,fv_kernel_s,fv_sync_s,fv_d2h_s,fv_free_s,fv_total_s,fv_fraction_of_mpp,outlier_note
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T42L25_fortran_16cpu_30day.log,matrix_T42L25_fortran_16cpu_30day.log,T42L25,fortran_16cpu,30,complete,True,30,False,False,0,held_suarez_fortran_16cpu_T42L25_30day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fortran_16cpu_T42L25_30day/run0001/atmos_monthly.nc,24.164601,24.164602,24.164602,0.0,0.8054867333333333,,,,,,,,,,,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T42L25_fv_cuda_a_grid_1gpu_30day.log,matrix_T42L25_fv_cuda_a_grid_1gpu_30day.log,T42L25,fv_cuda_a_grid_1gpu,30,complete,True,30,False,False,16,held_suarez_fv_cuda_a_grid_1gpu_T42L25_30day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fv_cuda_a_grid_1gpu_T42L25_30day/run0001/atmos_monthly.nc,48.609279,48.60928,48.609279,0.0,1.6203093333333334,cuda_resident,8640,0.000224641,1.206813504,17.136703329,17.210181153,0.097103082,0.0,20.572960118,0.42323112208203867,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T42L25_fv_cuda_a_grid_4gpu_30day.log,matrix_T42L25_fv_cuda_a_grid_4gpu_30day.log,T42L25,fv_cuda_a_grid_4gpu,30,complete,True,30,False,False,16,held_suarez_fv_cuda_a_grid_4gpu_T42L25_30day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fv_cuda_a_grid_4gpu_T42L25_30day/run0001/atmos_monthly.nc,83.237645,83.23794,83.237811,7.9e-05,2.7745979999999997,cuda_resident,8640,0.000118816,0.471514529,3.422730624,3.326121029,0.085758336,0.0,4.757510076,0.057155548010919065,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T42L25_fortran_16cpu_60day.log,matrix_T42L25_fortran_16cpu_60day.log,T42L25,fortran_16cpu,60,complete,True,60,False,False,0,held_suarez_fortran_16cpu_T42L25_60day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fortran_16cpu_T42L25_60day/run0001/atmos_monthly.nc,48.302252,48.302253,48.302253,0.0,0.80503755,,,,,,,,,,,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T42L25_fv_cuda_a_grid_1gpu_60day.log,matrix_T42L25_fv_cuda_a_grid_1gpu_60day.log,T42L25,fv_cuda_a_grid_1gpu,60,complete,True,60,False,False,16,held_suarez_fv_cuda_a_grid_1gpu_T42L25_60day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fv_cuda_a_grid_1gpu_T42L25_60day/run0001/atmos_monthly.nc,95.246317,95.246318,95.246317,0.0,1.5874386333333335,cuda_resident,17280,0.000396033,2.46274542,32.391629887,32.572548938,0.190613648,0.0,37.334108418,0.3919742957202818,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T42L25_fv_cuda_a_grid_4gpu_60day.log,matrix_T42L25_fv_cuda_a_grid_4gpu_60day.log,T42L25,fv_cuda_a_grid_4gpu,60,complete,True,60,False,False,16,held_suarez_fv_cuda_a_grid_4gpu_T42L25_60day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fv_cuda_a_grid_4gpu_T42L25_60day/run0001/atmos_monthly.nc,167.116114,167.116474,167.116265,0.000107,2.7852745666666667,cuda_resident,17280,0.000124928,0.961501224,6.437022209,6.294507424,0.176658328,0.0,8.297833267,0.0496529939172843,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T42L25_fortran_16cpu_90day.log,matrix_T42L25_fortran_16cpu_90day.log,T42L25,fortran_16cpu,90,complete,True,90,False,False,0,held_suarez_fortran_16cpu_T42L25_90day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fortran_16cpu_T42L25_90day/run0001/atmos_monthly.nc,72.853293,72.853294,72.853293,0.0,0.8094810444444445,,,,,,,,,,,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T42L25_fv_cuda_a_grid_1gpu_90day.log,matrix_T42L25_fv_cuda_a_grid_1gpu_90day.log,T42L25,fv_cuda_a_grid_1gpu,90,complete,True,90,False,False,16,held_suarez_fv_cuda_a_grid_1gpu_T42L25_90day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fv_cuda_a_grid_1gpu_T42L25_90day/run0001/atmos_monthly.nc,142.028544,142.028545,142.028544,0.0,1.5780949444444445,cuda_resident,25920,0.002722662,3.673132451,41.256051967,41.652249607,0.283081893,0.0,47.903785342,0.3372828000315007,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T42L25_fv_cuda_a_grid_4gpu_90day.log,matrix_T42L25_fv_cuda_a_grid_4gpu_90day.log,T42L25,fv_cuda_a_grid_4gpu,90,complete,True,90,False,False,16,held_suarez_fv_cuda_a_grid_4gpu_T42L25_90day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fv_cuda_a_grid_4gpu_T42L25_90day/run0001/atmos_monthly.nc,248.004827,248.00494,248.004866,3.7e-05,2.7556104444444447,cuda_resident,25920,0.000116384,1.417318519,9.790964831,9.588815738,0.253242092,0.0,12.261640233,0.04944111287863862,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T42L25_fortran_16cpu_120day.log,matrix_T42L25_fortran_16cpu_120day.log,T42L25,fortran_16cpu,120,complete,True,120,False,False,0,held_suarez_fortran_16cpu_T42L25_120day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fortran_16cpu_T42L25_120day/run0001/atmos_monthly.nc,96.886231,96.887981,96.887745,0.000488,0.8073998416666667,,,,,,,,,,,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T42L25_fv_cuda_a_grid_1gpu_120day.log,matrix_T42L25_fv_cuda_a_grid_1gpu_120day.log,T42L25,fv_cuda_a_grid_1gpu,120,complete,True,120,False,False,16,held_suarez_fv_cuda_a_grid_1gpu_T42L25_120day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fv_cuda_a_grid_1gpu_T42L25_120day/run0001/atmos_monthly.nc,188.705846,188.705848,188.705847,0.0,1.5725487333333334,cuda_resident,34560,0.000198176,5.056409869,62.048752919,62.529446711,0.382559891,0.0,70.379995592,0.3729613911700288,
/panfs/ccds02/nobackup/people/jli30/workspace/GFDL_atmos_cubed_sphere/logs/matrix_T42L25_fv_cuda_a_grid_4gpu_120day.log,matrix_T42L25_fv_cuda_a_grid_4gpu_120day.log,T42L25,fv_cuda_a_grid_4gpu,120,complete,True,120,False,False,16,held_suarez_fv_cuda_a_grid_4gpu_T42L25_120day,/explore/nobackup/people/jli30/SystemTesting/Isca/isca_data/held_suarez_fv_cuda_a_grid_4gpu_T42L25_120day/run0001/atmos_monthly.nc,327.697013,327.697249,327.697135,6e-05,2.7308104083333333,cuda_resident,34560,0.000127681,1.967296254,13.294249152,12.999896248,0.353100097,0.0,16.639992153,0.050778553081475525,
